"Order.Date","Item.Code","Quantity","Ship.To.Address.No","Status"
2017-01-03,"10135139",1,1857566,"Canceled"
2017-01-03,"10135140",1,1857566,"Canceled"
2017-01-03,"10135138",1,1857566,"Canceled"
2017-01-03,"10135132",1,1857566,"Canceled"
2017-01-03,"10135359",1,1857566,"Canceled"
2017-01-03,"10135364",1,1857566,"Canceled"
2017-01-03,"10135358",1,1857566,"Canceled"
2017-01-03,"10133703",1,1857566,"Canceled"
2017-01-03,"10135131",1,1857566,"Canceled"
2017-01-03,"10135363",1,1857566,"Canceled"
2017-01-04,"10133703",1,62998,"Canceled"
2017-01-04,"1039823",1,1912593,"Canceled"
2017-01-04,"10135364",1,1912593,"Canceled"
2017-01-04,"1041108",4,1254738,"Canceled"
2017-01-04,"1041108",16,1254740,"Canceled"
2017-01-04,"1040466",3,1254765,"Canceled"
2017-01-04,"1040468",2,1254765,"Canceled"
2017-01-04,"1040466",2,2258543,"Canceled"
2017-01-04,"1040466",1,43823775,"Canceled"
2017-01-04,"1037624",1,43823775,"Canceled"
2017-01-04,"1037623",1,43823775,"Canceled"
2017-01-04,"1040466",1,43823777,"Canceled"
2017-01-04,"1040468",1,1951810,"Canceled"
2017-01-04,"1040466",1,1951810,"Canceled"
2017-01-04,"1040466",1,43823779,"Canceled"
2017-01-04,"1040466",1,43823791,"Canceled"
2017-01-04,"1037624",1,43823791,"Canceled"
2017-01-04,"1037623",1,43823791,"Canceled"
2017-01-04,"10135771",1390,1254694,"Canceled"
2017-01-04,"1038323",1,1254693,"Canceled"
2017-01-04,"1041108",1,1254692,"Canceled"
2017-01-05,"1040517",1,1255585,"Canceled"
2017-01-05,"1041106",1,1255585,"Canceled"
2017-01-05,"10098739",3,1254731,"Canceled"
2017-01-05,"10106229",1,1254711,"Canceled"
2017-01-05,"10098739",3,1254716,"Canceled"
2017-01-05,"10106229",1,43824769,"Canceled"
2017-01-05,"10106229",1,1254734,"Canceled"
2017-01-05,"1029069",1,1254694,"Canceled"
2017-01-05,"10138005",1,1254694,"Canceled"
2017-01-05,"1029070",1,1254694,"Canceled"
2017-01-05,"10138006",1,1254694,"Canceled"
2017-01-05,"1029071",1,1254694,"Canceled"
2017-01-05,"10138004",1,1254694,"Canceled"
2017-01-05,"1033341",1,1254694,"Canceled"
2017-01-05,"1040827",1,1254694,"Canceled"
2017-01-05,"10106111",1,1254694,"Canceled"
2017-01-05,"10136162",1,1254694,"Canceled"
2017-01-05,"10105916",1,1254694,"Canceled"
2017-01-05,"10137990",1,1254694,"Canceled"
2017-01-05,"10106230",1,1254694,"Canceled"
2017-01-05,"10137993",1,1254694,"Canceled"
2017-01-05,"1040725",1,1254694,"Canceled"
2017-01-05,"10137995",1,1254694,"Canceled"
2017-01-05,"1040726",1,1254694,"Canceled"
2017-01-05,"10137996",1,1254694,"Canceled"
2017-01-05,"10137992",1,1254694,"Canceled"
2017-01-05,"10106229",1,1254694,"Canceled"
2017-01-05,"10137993",1,1254694,"Canceled"
2017-01-05,"1040725",1,1254694,"Canceled"
2017-01-05,"10137995",1,1254694,"Canceled"
2017-01-05,"1040726",1,1254694,"Canceled"
2017-01-05,"10137996",1,1254694,"Canceled"
2017-01-05,"1041108",1,1404699,"Canceled"
2017-01-05,"1041107",1,1404699,"Canceled"
