"auto","region","sales"
"Toyota Vios","North",542
"Toyota Vios","Central",126
"Toyota Vios","South",365
"Toyota Innova","North",245
"Toyota Innova","Central",38
"Toyota Innova","South",667
"Toyota Fortuner","North",220
"Toyota Fortuner","Central",95
"Toyota Fortuner","South",588
"Mazda 3","North",469
"Mazda 3","Central",78
"Mazda 3","South",290
"Ford Ranger","North",464
"Ford Ranger","Central",86
"Ford Ranger","South",270
"Kia Morning","North",470
"Kia Morning","Central",46
"Kia Morning","South",286
"Mazda CX-5","North",264
"Mazda CX-5","Central",39
"Mazda CX-5","South",158
"Honda City","North",98
"Honda City","Central",43
"Honda City","South",262
"Ford EcoSport","North",165
"Ford EcoSport","Central",30
"Ford EcoSport","South",189
"Kia Cerato","North",189
"Kia Cerato","Central",36
"Kia Cerato","South",126
